Text ID,Comment Text,Token
1111,"Hello world, are you here alien !","['hello', 'world', 'alien']"
1112,Hello universe !!! Glad to hear you from Earth,"['hello', 'universe', 'glad', 'hear', 'earth']"
1113,"In the 1940s and 50s reports of ""flying saucers"" became an American cultural phenomena","['reports', 'flying', 'saucers', 'became', 'american', 'cultural', 'phenomena']"
1114,Are these alleged visitors from other worlds peaceful and benevolent or would they attack and destroy humanity?,"['alleged', 'visitors', 'worlds', 'peaceful', 'benevolent', 'would', 'attack', 'destroy', 'humanity']"
1115,"f UFOs were visiting our world, where were these extraterrestrials? Could they be hidden among us?","['ufos', 'visiting', 'world', 'extraterrestrials', 'could', 'hidden', 'among']"
1116,"he husband returns home and finding it empty runs towards the telephone in a panic. In a twist, the anxious husband reveals that he and his wife are the Martians.","['husband', 'returns', 'home', 'finding', 'empty', 'runs', 'towards', 'telephone', 'panic', 'twist', 'anxious', 'husband', 'reveals', 'wife', 'martians']"
1117,"The fear that there might be alien enemies in our midst resonates with fears of Soviets and communists from the McCarthy era. Ultimately, in this story, the humans are the ones who accost and capture the alien woman. The shift in perspective puts the humans in the position of the monsters.","['fear', 'might', 'alien', 'enemies', 'midst', 'resonates', 'fears', 'soviets', 'communists', 'mccarthy', 'ultimately', 'story', 'humans', 'ones', 'accost', 'capture', 'alien', 'woman', 'shift', 'perspective', 'puts', 'humans', 'position', 'monsters']"
1118,"Aside from depictions of UFOs in media, UFOs are also part of American folk culture. ","['aside', 'depictions', 'ufos', 'media', 'ufos', 'also', 'part', 'american', 'folk', 'culture']"
1119," I've been in the Marines, and know what airplane lights look like, and it was too big for that."" When asked if he knew what it was he offered, ""I don't know what it was"" but went on to explain, ""If there is any such thing as a UFO that's what that was."" This unexplained light on a walk in the woods is typical of many stories of these kinds of encounters. It's not only the media that tells stories and represents these kinds of ideas, documentation of the experiences and stories Americans tell each other is similarly important for understanding and interpreting what UFOs meant to 20th century America","['marines', 'know', 'airplane', 'lights', 'look', 'like', 'asked', 'knew', 'offered', 'know', 'went', 'explain', 'thing', 'unexplained', 'light', 'walk', 'woods', 'typical', 'many', 'stories', 'kinds', 'encounters', 'media', 'tells', 'stories', 'represents', 'kinds', 'ideas', 'documentation', 'experiences', 'stories', 'americans', 'tell', 'similarly', 'important', 'understanding', 'interpreting', 'ufos', 'meant', 'century', 'america']"
1120,Scientists and astronomers express varying degrees of enthusiasm for the possibility of intelligent life in the universe,"['scientists', 'astronomers', 'express', 'varying', 'degrees', 'enthusiasm', 'possibility', 'intelligent', 'life', 'universe']"
1121,"This zealous criticism of belief in UFOs from Sagan, who was well known for his speculative ideas about the likelihood of alien civilizations, might seem to be a contradiction.","['zealous', 'criticism', 'belief', 'ufos', 'sagan', 'well', 'known', 'speculative', 'ideas', 'likelihood', 'alien', 'civilizations', 'might', 'seem', 'contradiction']"
1122,Sagan himself had even speculated on the possibilities of visits by ancient aliens in his essay from the early 60s,"['sagan', 'even', 'speculated', 'possibilities', 'visits', 'ancient', 'aliens', 'essay', 'early']"
